Catalogue Number,De la Faille number,Title,Date,Area,BaSO4,CaCO3,Gypsum,Lead white,Zinc white,Cobalt,French ultramarine,Prussian blue,Cerulean blue,Indigo,Cobalt violet,Purple lake,Emerald green,Viridian,Chrome yellow or orange,Naples yellow,Zinc yellow,Cadmium yellow or orange,Unidentified yellow lake,Vermilion,Minium,Cochineal lake,Kopps purpurin lake,Redwood lake,Madder lake,Unidentified red lake,Carbon black/brown,Bone black,Charcoal black,Umber,Iron oxide pigments
120,296,Portrait of Vincent van Gogh,Summer 1887,Paris,X,,,X,,X,,,,,,,,X,,,X,,,X,,,,,,,,,,,
121,28,Kingfisher at the waters edge,July-August 1887,Paris,,X,,?,X,,,,,,,,,,,,,,,X,,X,,,,,,,,,
122,388V,Allotment with sunflower,August 1887,Paris,X,X,,X,,,,,,,,,,X,Y,,,,,,,,,,,X,,,,,
123,316,Monmartre: behind the Moulin de la Galette,August-mid Sept.. 1887,Paris,X,,,,,X,X,,X,,,,,,"O, & Y?",,X,,,X,,X,X,,,,,,,,
124,377,Sunflowers run to seed,Mid August-mid Sept.. 1887,Paris,X,,,X,X,X,X,,X,,,,X,,Y,,X,,,X,X,X,X,,,,X,,,,X
125,469,Self portrait,August-Sept.. 1887,Paris,,,,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,
125,469,Paint transferred from original   frame,,Paris,X,,,?,,,,,,,,,,,Y,,X,,,,,,,,,,,,,,
126,254,Apples,Sept..-Oct.. 1887,Paris,,,X,X,X,,X,X,X,,,,X,,Y,,,,,X,,,,,,X,,,,,
127,603,Grapes,Sept..-Oct.. 1887,Paris,X,,,X,X,X,X,,,,,X Unknown,X,,Y,,X,,,X,X,,X,,,X Ca substrate,,,,,
128,383,"Quinces, lemons, pears and grapes",Sept..-Oct.. 1887,Paris,X,,,X,?,,,,,,,,X,,Y,,X,,,X,X,X,,,,,,,,,X
128,383,Original frame,,Paris,X,,,X,,,,,,,,,,,Y,,X,,,X,X,,,,,,,,,,X
129,524,Self portrtait,Sept..-Oct.. 1887,Paris,X,,,X,,,,,,,,,X,X,Y,,,Y or O?,,X,,,,?,,,X,,,,
130,344,Self portrait,Sept..-Oct.. 1887,Paris,,,,X,,X,,,,,,,X,X,,,,,,X,,X,,,,,X,,,,
131,371,Flowering orchard: after Hiroshige,Oct..-Nov. 1887,Paris,,,X,,,,,,,,,,X,,,,,,,X,X,X,,,,,,,,,
132,372,Bridge in the rain: after Hiroshige,Oct..-Nov. 1887,Paris,X,,,X,,,,,,,,,X,,,,,,,,,X,X,,,,,,,,
133,373,Courtesan: after Eisen,Oct..-Nov. 1887,Paris,,,X,X,X,X,X,,,,,,X,X,Y,,,,,X,X,X,,,,,,,,,
134,358,Paris novels,Oct..-Nov. 1887,Paris,,,,,,,,,,,,,,,Y,,,,,,,X,,,,,,,,,
135,374,Red cabbages and onions,Nov. 1887-Feb. 1888,Paris,,,,X,,X,X,X,,,,,X,,,,,Y,,X,X,X,,,,,,,,,
136,289,Portrait of Etienne-Lucien Martin,November 1887,Paris,,,,X,X,,X,,,X,,,X,,,,,,,X,,X,X,,,,,,,,X
137,522,Self portrait as a painter,Dec. 1887-Feb. 1888,Paris,,,X,X,,X,,,,,,,X,,O & Y?,,X,O ,,X,X,X,,,,,,,,,
